task,ground_truth,kid_input,result
1,|[0, 0, 1]|,0,0
1,|[0, 0, 1]|,0,0
2,|[0, 0, 6]|,0,0
3,|[0, 0, 1, 5, 6]|,0,0
4,|[0, 5, 6, 5, 3, 1, 3, 5, 6, 5, 3, 0, 8, 0, 8, 0, 8, 0, 8, 0]|,0,0
10,0,0,0
4,|[0, 5, 6, 5, 3, 1, 3, 5, 6, 5, 3, 0, 8, 0, 8, 0, 8, 0, 8, 0]|,0,0
5,|[0, 8, 8, 9, 8, 6, 4, 6, 8, 9, 8, 6, 0, 5, 5, 6, 5, 3, 1, 3, 5, 6, 5, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0]|,0,0
6,|[0, 5, 6, 5, 3, 1, 3, 5, 6, 5, 3, 0, 8, 0, 8, 0, 8, 0, 8, 0, 8, 8, 9, 8, 6, 4, 6, 8, 9, 8, 6, 0, 5, 5, 6, 5, 3, 1, 3, 5, 6, 5, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 8, 8, 9, 8, 6, 4, 6, 8, 9, 8, 0, 8, 0, 8, 0, 8, 0, 8, 0, 8, 0, 6, 0, 5, 0, 3, 0, 8, 0, 6, 0, 5, 0, 3, 0, 5, 0, 6, 0, 0, 0, 7, 0, 8, 0, 0, 1, 2, 3, 2, 0, 3, 1, 0, 5, 1, 0]|,0,0
10,0,0,0
6,|[0, 5, 6, 5, 3, 1, 3, 5, 6, 5, 3, 0, 8, 0, 8, 0, 8, 0, 8, 0, 8, 8, 9, 8, 6, 4, 6, 8, 9, 8, 6, 0, 5, 5, 6, 5, 3, 1, 3, 5, 6, 5, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 8, 8, 9, 8, 6, 4, 6, 8, 9, 8, 0, 8, 0, 8, 0, 8, 0, 8, 0, 8, 0, 6, 0, 5, 0, 3, 0, 8, 0, 6, 0, 5, 0, 3, 0, 5, 0, 6, 0, 0, 0, 7, 0, 8, 0, 0, 1, 2, 3, 2, 0, 3, 1, 0, 5, 1, 0]|,0,0
