number of practice,ground_truth,kid_input,result,number ask for help,demo_on_or_not
1.0,|['9', 'a', '8', '0', '6', '0', '5', '0', '3']|,['0'],6,1,0
2.0,|['0', '2', '1', '1', '0', '9', 'a', '8']|,|['2', '3', '2', '1', '2', '4', '4', '1', '1', '2', '2', '3', '1']|,10,2,1
3.0,|['0', '2', '1', '1', '0', '9', 'a', '8', '0']|,|['3', '3', '3', '2', '2', '2', '2', '2', '1', '1']|,9,2,0
4.0,|['0', '6', '0', '5', '0', '3', '0', '2', '1']|,|['5', '3', '2', '1', '1', '6']|,3,100,0
5.0,|['6', '0', '5', '0', '3', '0', '2', '1', '1', '0']|,['0'],6,2,1
6.0,|['1', '1', '0', '9', 'a', '8', '0', '0', '9']|,|['1', '1', '3', '1', '2', '3', '3', '2', '2', '1', '9', '9']|,9,1,0
7.0,|['0', '9', 'a', '8', '0', '0', '9', 'a']|,|['1', '1', '3', '2', '1', '3', '2']|,7,2,0
8.0,|['1', '1', '0', '9', 'a', '8', '0', '0']|,|['3', '1', '2', '2', '3', '1', '1']|,6,2,0
9.0,|['0', '3', '0', '2', '1', '1', '0', '9']|,|['2', '3', '3', '2', '1', '7']|,4,2,1
10.0,|['5', '0', '3', '0', '2', '1', '1', '0', '9']|,['1'],5,1,0
11.0,|['0', '6', '0', '5', '0', '3', '0', '2']|,|['5', '6', '5', '3', '2', '7']|,2,100,1
12.0,|['8', '0', '0', '9', 'a', '8', '0', '8']|,|['9', 'a', '8', '8', '7']|,2,100,1
13.0,|['9', '9', '9', 'a', '8', '0', '6', '0', '5', '0']|,|['8', '8', '8', '8', '9', 'a', '5', '7', '8', '8', '8', '8', '8', '9', '6', '5']|,11,2,0
14.0,|['a', '8', '0', '0', '9', 'a', '8', '0', '8']|,|['8', '8', '8', '8', '9', '8', '8', '8']|,4,2,0
15.0,|['9', '9', 'a', '8', '0', '6', '0', '5']|,|['1', '3', '3', '1', '2', '4', '1', '2', '2', '3', '2', '5', '5']|,12,2,0
16.0,|['0', '2', '1', '1', '0', '9', 'a', '8', '0']|,|['a', '9', '8']|,4,2,1
