number of practice,ground_truth,kid_input,result,number ask for help,demo_on_or_not
1.0,|['b', 'b', '8', '9', 'b', 'b', 'b']|,['0'],7,2,0
2.0,|['8', '8', '7', '1', '2', '4', '4', '4']|,['0'],8,2,0
3.0,|['8', '9', 'b', 'b', 'b', '8', '9']|,['0'],7,2,0
4.0,|['6', '8', '8', '8', '5', '6', '8']|,['0'],7,2,0
5.0,|['4', '1', '2', '4', '4', '4']|,['0'],6,2,0
6.0,|['6', '8', '8', '8', '5', '6', '8']|,['0'],7,2,1
7.0,|['8', '8', '7', '1', '2', '4']|,['0'],6,2,1
8.0,|['8', '8', '7', '1', '2', '4']|,['0'],6,2,0
9.0,|['b', 'b', 'b', '8', '9', 'b', 'b']|,['0'],7,2,1
10.0,|['6', '8', '8', '8', '5', '6', '8']|,['0'],7,2,0
11.0,|['4', '4', '4', '1', '2', '4']|,|['4', '4', '4', '1', '2', '4', '4', '4']|,2,100,1
12.0,|['4', '1', '2', '4', '4', '4', '1', '2']|,|['4', '1', '2', '4', '4', '4', '4', '4', '4', '1', '2']|,2,100,1
13.0,|['4', '1', '2', '4', '4', '4', '3']|,|['4', '1', '2', '2', '4', '4', '4', '3']|,1,100,0
14.0,|['b', 'b', 'b', '8', '9', 'b']|,|['b', 'b', 'b', 'b', 'b', 'b', '8', '9', 'b', 'b']|,1,100,1
15.0,|['8', '5', '6', '8', '8', '8']|,|['8', '5', '6', '8', '8', '8']|,0,100,0
16.0,|['b', 'b', '8', '9', 'b', 'b', 'b']|,|['b', 'b', '8', '9', 'b', 'b', 'b']|,0,100,1
17.0,|['5', '6', '8', '8', '8', '7', '1']|,|['5', '6', '8', '8', '8', '8', '7', '1']|,1,100,1
18.0,|['b', 'b', '8', '9', 'b', 'b', 'b']|,|['b', 'b', 'b', '8', '9', 'b', 'b', 'b', 'b']|,2,100,0
19.0,|['8', '9', 'b', 'b', 'b', '8']|,|['8', '9', 'b', 'b', 'b', 'b', '8', '8']|,2,100,0
20.0,|['8', '8', '5', '6', '8', '8', '8']|,|['8', '8', '5', '6', '6', '8', '8', '8']|,1,100,0
